"","Longitude","Latitude","Year","Ice"
"1",179.803782344106,44.7615666362053,1997,0
"2",178.802353285392,45.4537010761927,1997,0
"3",177.766190739857,46.1363719755027,1997,0
"4",176.69416976845,46.8086988272805,1997,0
"5",175.585186751273,47.4697610152231,1997,0
"6",174.438171534356,48.1185976727958,1997,0
"7",173.252101342541,48.7542079054629,1997,0
"8",172.026016549702,49.3755514473378,1997,0
"9",170.759038362893,49.9815498293202,1997,0
"10",169.450388429188,50.5710881413984,1997,0
"11",168.099410311333,51.1430174752256,1997,0
"12",166.705592699326,51.6961581342581,1997,0
"13",165.268594129083,52.2293036966745,1997,0
"14",163.788268866852,52.7412260100947,1997,0
"15",162.264693490831,53.2306811858631,1997,0
"16",160.698193563507,53.6964166434752,1997,0
"20",154.019579343627,55.2972899187582,1997,0
"21",152.253759909595,55.6259608929015,1997,0
"22",150.45348760294,55.9237403852792,1997,0
"23",148.621397929216,56.1895968822293,1997,0
"24",146.760479775805,56.4225794921233,1997,0
"25",144.874059251758,56.6218307558907,1997,0
"26",142.965774565211,56.7865988455133,1997,0
"27",141.039541989164,56.9162487721518,1997,0
"28",139.099513403402,57.0102722302432,1997,0
"60",-179.201504249686,45.4585950228832,1997,0
"61",179.796824328534,46.1663929589992,1997,0
"62",178.759130224869,46.8649593465983,1997,0
"63",177.684153233323,47.5533944056851,1997,0
"64",176.570646080258,48.2307546331999,1997,0
"65",175.417387026041,48.8960523027102,1997,0
"66",174.223194511952,49.5482553232591,1997,0
"67",172.986943996163,50.1862875369015,1997,0
"68",171.707587089907,50.8090295435323,1997,0
"69",170.384173056744,51.415320149347,1997,0
"70",169.015872671174,52.0039585416401,1997,0
"71",167.602004345553,52.5737072966078,1997,0
"72",166.142062324239,53.1232963273645,1997,0
"73",164.635746610807,53.6514278753562,1997,0
"74",163.08299413902,54.1567826385008,1997,0
"79",154.640997602142,56.2952524868173,1997,0
"80",152.825442246247,56.6361188643552,1997,0
"81",150.972132147005,56.9451442905194,1997,0
"82",149.083870871348,57.2212035752658,1997,0
"83",147.163871373421,57.4632565307002,1997,0
"84",145.215739574023,57.670362760535,1997,0
"85",143.243446972894,57.8416958353977,1997,0
"86",141.251292236935,57.9765563914024,1997,0
"119",-178.172031755695,46.146375771998,1997,0
"120",-179.172681625185,46.8700789878864,1997,0
"121",179.789354700845,47.5848153692998,1997,0
"122",178.712671058475,48.2896674942304,1997,0
"123",177.595863946246,48.9836704607901,1997,0
"124",176.43754541628,49.6658109706282,1997,0
"125",175.236358309274,50.3350267581855,1997,0
"126",173.990994042506,50.9902064543835,1997,0
"127",172.700213132102,51.6301899847539,1997,0
"128",171.362868584929,52.253769613132,1997,0
"129",169.977932227485,52.859691751917,1997,0
"130",168.544523945263,53.44665966758,1997,0
"131",167.061943682814,54.0133372143175,1997,0
"132",165.529705899934,54.5583537280581,1997,0
"133",163.947575992843,55.0803102057828,1997,0
"134",162.315607973442,55.5777868795732,1997,0
"138",155.302627662356,57.2943229914007,1997,0
"139",153.434948822922,57.6480959060621,1997,0
"140",151.525796389926,57.9690461437763,1997,0
"141",149.578147837332,58.2559435804827,1997,0
"142",147.595456511405,58.5076474679383,1997,0
"143",145.581635520944,58.7231235642931,1997,0
"144",143.541028153187,58.9014606728137,1997,0
"178",-177.106646390413,46.8240325194426,1997,0
"179",-178.104875178307,47.5638645099674,1997,0
"180",-179.141700469969,48.2950288239235,1997,0
"181",179.781314880577,49.0165923889175,1997,0
"182",178.662598290351,49.727570783045,1997,0
"183",177.500580403479,50.4269268412192,1997,0
"184",176.293710702788,51.1135695835008,1997,0
"185",175.040476065561,51.7863535620974,1997,0
"186",173.739422532883,52.444078738554,1997,0
"187",172.389180522433,53.0854910176181,1997,0
"188",170.988493649262,53.7092835785349,1997,0
"189",169.536251222081,54.3140991569961,1997,0
"190",168.031524348416,54.8985334401735,1997,0
"191",166.473605405945,55.4611397414217,1997,0
"192",164.862050416867,56.00043511823,1997,0
"197",156.008308286099,58.293926196737,1997,0
"198",154.086009203152,58.6613777577402,1997,0
"200",150.107544581196,59.2934245545973,1997,0
"237",-176.004211909707,47.4906481608476,1997,0
"238",-176.998475672301,48.2468105606625,1997,0
"239",-178.032597970081,48.994640480266,1997,0
"240",-179.108308892478,49.7331915816355,1997,0
"241",179.77263698901,50.4614622341153,1997,0
"242",178.608473347452,51.1783935809057,1997,0
"243",177.3974377975,51.8828678904555,1997,0
"244",176.137790946135,52.5737072966078,1997,0
"245",174.827839174904,53.249673049891,1997,0
"246",173.46596150382,53.9094654218296,1997,0
"247",172.050640830253,54.5517244237353,1997,0
"248",170.580499741784,55.1750315199387,1997,0
"249",169.054340961633,55.7779125311949,1997,0
"250",167.471192290849,56.358841934899,1997,0
"251",165.830355656681,56.9162487721518,1997,0
"252",164.1314595587,57.4485243645293,1997,0
"253",162.374513826074,57.9540320222637,1997,0
"255",158.688751574184,58.8781299937936,1997,0
"256",156.762353064649,59.2934245545973,1997,0
"257",154.782836103121,59.6753943640126,1997,0
"296",-174.863621507572,48.1452645788115,1997,0
"297",-175.852223461919,48.9179332223192,1997,0
"298",-176.881910997955,49.6826420319059,1997,0
"299",-177.954591511113,50.4384342109304,1997,0
"300",-179.072214225538,51.1842937040063,1997,0
"301",179.763241928093,51.9191426600675,1997,0
"302",178.549783709067,52.6418391277943,1997,0
"303",177.285422730999,53.3511750926513,1997,0
"304",175.968198901926,54.0458749874016,1997,0
"305",174.59620863975,54.7245948325635,1997,0
"306",173.167638322583,55.3859221891341,1997,0
"307",171.6808033505,56.0283771317999,1997,0
"308",170.134193056916,56.6504144750256,1997,0
"309",168.526521501517,57.250427504399,1997,0
"310",166.856783890808,57.8267534782162,1997,0
"311",165.124317998361,58.3776811655924,1997,0
"312",163.328869492658,58.9014606728137,1997,0
"314",159.550452389207,59.8604589038542,1997,0
"315",157.569620196659,60.2921088712629,1997,0
"355",-173.683811511803,48.7868827192219,1997,0
"356",-174.664894259344,49.5762033249705,1997,0
"357",-175.688238098018,50.3579753559049,1997,0
"358",-176.755936970372,51.13123481064,1997,0
"359",-177.870146797735,51.8949545022063,1997,0
"360",-179.033074428356,52.6480408556138,1997,0
"361",179.753036962574,53.3893308674392,1997,0
"362",178.485926639365,54.1175893394723,1997,0
"363",177.163339898875,54.8315065253324,1997,0
