X,Y,Date,Daily.Max.8.hour.Ozone.Concentration
-78.50397,38.0765700009162,06/20/2019,0.046
-78.50397,38.0765700009162,06/21/2019,0.044
-78.50397,38.0765700009162,06/22/2019,0.037
-78.50397,38.0765700009162,06/23/2019,0.041
-78.50397,38.0765700009162,06/24/2019,0.035
-78.50397,38.0765700009162,06/25/2019,0.043
-78.50397,38.0765700009162,06/26/2019,0.053
-78.50397,38.0765700009162,06/27/2019,0.056
-78.50397,38.0765700009162,06/28/2019,0.049
-78.50397,38.0765700009162,06/29/2019,0.045
-78.50397,38.0765700009162,06/30/2019,0.049
-78.50397,38.0765700009162,07/01/2019,0.043
-78.50397,38.0765700009162,07/02/2019,0.049
-78.50397,38.0765700009162,07/03/2019,0.051
-78.50397,38.0765700009162,07/04/2019,0.044
-78.50397,38.0765700009162,07/05/2019,0.041
-78.50397,38.0765700009162,07/06/2019,0.038
-78.50397,38.0765700009162,07/07/2019,0.036
-78.50397,38.0765700009162,07/08/2019,0.034
-78.50397,38.0765700009162,07/09/2019,0.039
-78.50397,38.0765700009162,07/10/2019,0.04
-78.50397,38.0765700009162,07/11/2019,0.037
-78.50397,38.0765700009162,07/12/2019,0.042
-78.50397,38.0765700009162,07/13/2019,0.049
-78.50397,38.0765700009162,07/14/2019,0.055
-78.50397,38.0765700009162,07/15/2019,0.045
-78.50397,38.0765700009162,07/16/2019,0.044
-78.50397,38.0765700009162,07/17/2019,0.031
-78.50397,38.0765700009162,07/18/2019,0.033
-78.50397,38.0765700009162,07/19/2019,0.042
-78.50397,38.0765700009162,07/20/2019,0.037
-78.50397,38.0765700009162,07/21/2019,0.038
-78.50397,38.0765700009162,07/22/2019,0.032
-78.50397,38.0765700009162,07/23/2019,0.027
-78.50397,38.0765700009162,07/24/2019,0.039
-78.50397,38.0765700009162,07/25/2019,0.044
-78.50397,38.0765700009162,07/26/2019,0.055
-78.50397,38.0765700009162,07/27/2019,0.05
-78.50397,38.0765700009162,07/28/2019,0.051
-78.50397,38.0765700009162,07/29/2019,0.047
-78.50397,38.0765700009162,07/30/2019,0.051
-78.50397,38.0765700009162,07/31/2019,0.042
-78.50397,38.0765700009162,08/01/2019,0.045
-78.50397,38.0765700009162,08/02/2019,0.048
-78.50397,38.0765700009162,08/03/2019,0.043
-78.50397,38.0765700009162,08/04/2019,0.05
-78.50397,38.0765700009162,08/05/2019,0.051
-78.50397,38.0765700009162,08/06/2019,0.049
-78.50397,38.0765700009162,08/07/2019,0.048
-78.50397,38.0765700009162,08/08/2019,0.044
-78.50397,38.0765700009162,08/09/2019,0.043
-78.50397,38.0765700009162,08/10/2019,0.044
-78.50397,38.0765700009162,08/11/2019,0.043
-78.50397,38.0765700009162,08/12/2019,0.046
-78.50397,38.0765700009162,08/13/2019,0.041
-78.50397,38.0765700009162,08/14/2019,0.043
-78.50397,38.0765700009162,08/15/2019,0.048
-78.50397,38.0765700009162,08/16/2019,0.042
-78.50397,38.0765700009162,08/17/2019,0.046
-78.50397,38.0765700009162,08/18/2019,0.045
-78.50397,38.0765700009162,08/20/2019,0.047
-78.50397,38.0765700009162,08/21/2019,0.042
-78.50397,38.0765700009162,08/22/2019,0.045
-78.50397,38.0765700009162,08/23/2019,0.028
-78.50397,38.0765700009162,08/24/2019,0.032
-78.50397,38.0765700009162,08/25/2019,0.037
-78.50397,38.0765700009162,08/26/2019,0.028
-78.50397,38.0765700009162,08/27/2019,0.027
-78.50397,38.0765700009162,08/28/2019,0.034
-78.50397,38.0765700009162,08/29/2019,0.041
-78.50397,38.0765700009162,08/30/2019,0.046
-78.50397,38.0765700009162,08/31/2019,0.044
-78.50397,38.0765700009162,09/01/2019,0.043
-78.50397,38.0765700009162,09/02/2019,0.037
-78.50397,38.0765700009162,09/03/2019,0.044
-78.50397,38.0765700009162,09/04/2019,0.046
-78.50397,38.0765700009162,09/05/2019,0.042
-78.50397,38.0765700009162,09/06/2019,0.042
-78.50397,38.0765700009162,09/07/2019,0.046
-78.50397,38.0765700009162,09/08/2019,0.047
-78.50397,38.0765700009162,09/09/2019,0.048
-78.50397,38.0765700009162,09/10/2019,0.043
-78.50397,38.0765700009162,09/11/2019,0.047
-78.50397,38.0765700009162,09/12/2019,0.053
-78.50397,38.0765700009162,09/13/2019,0.016
-78.50397,38.0765700009162,09/14/2019,0.026
-78.50397,38.0765700009162,09/15/2019,0.043
-78.50397,38.0765700009162,09/16/2019,0.048
-78.50397,38.0765700009162,09/17/2019,0.036
-78.50397,38.0765700009162,09/18/2019,0.046
-78.50397,38.0765700009162,09/19/2019,0.041
-78.50397,38.0765700009162,09/20/2019,0.044
-78.50397,38.0765700009162,09/21/2019,0.054
-78.50397,38.0765700009162,09/22/2019,0.049
-78.50397,38.0765700009162,09/23/2019,0.047
-78.50397,38.0765700009162,09/24/2019,0.041
-78.50397,38.0765700009162,09/25/2019,0.046
-78.50397,38.0765700009162,09/26/2019,0.043
-78.50397,38.0765700009162,09/27/2019,0.052
-78.50397,38.0765700009162,09/28/2019,0.036
-78.50397,38.0765700009162,09/29/2019,0.049
-78.50397,38.0765700009162,09/30/2019,0.032
