"Year","AOU","SpeciesTotal","Latitude","Longitude","State","Genus_species"
2019,"3160",4,40.2017613,-120.623502,"Califor","Zenaida_macroura"
2019,"3160",4,39.6878368,-123.484892,"Califor","Zenaida_macroura"
2019,"3160",1,39.0686937,-121.0099559,"Califor","Zenaida_macroura"
2019,"3160",0,39.5602197,-120.8280109,"Califor","Zenaida_macroura"
2019,"3160",10,38.5498734,-122.719303,"Califor","Zenaida_macroura"
2019,"3160",24,38.7939347,-121.8400349,"Califor","Zenaida_macroura"
2019,"3160",2,38.7694117,-120.4473869,"Califor","Zenaida_macroura"
2019,"3160",21,37.2521703,-121.6774341,"Califor","Zenaida_macroura"
2019,"3160",20,37.9834939,-120.6452578,"Califor","Zenaida_macroura"
2019,"3160",58,37.1201217,-119.7013699,"Califor","Zenaida_macroura"
2019,"3160",4,37.4158007,-118.0043109,"Califor","Zenaida_macroura"
2019,"3160",0,38.3407717,-123.0480649,"Califor","Zenaida_macroura"
2019,"3160",3,37.2115267,-122.1565019,"Califor","Zenaida_macroura"
2019,"3160",24,36.257393,-121.4234494,"Califor","Zenaida_macroura"
2019,"3160",19,41.7401687,-122.6334149,"Califor","Zenaida_macroura"
2019,"3160",0,41.2528113,-121.8238479,"Califor","Zenaida_macroura"
2019,"3160",9,33.5014318,-116.7979649,"Califor","Zenaida_macroura"
2019,"3160",0,34.971073,-118.148742,"Califor","Zenaida_macroura"
2019,"3160",32,35.4779437,-119.2962109,"Califor","Zenaida_macroura"
2019,"3160",17,36.8242987,-121.2813,"Califor","Zenaida_macroura"
2019,"3160",2,38.3796305,-122.5109615,"Califor","Zenaida_macroura"
2019,"3160",0,40.4976057,-121.4282989,"Califor","Zenaida_macroura"
2019,"3160",3,37.1650627,-122.2276839,"Califor","Zenaida_macroura"
2019,"3160",6,32.957592,-116.540324,"Califor","Zenaida_macroura"
2019,"3160",40,35.89089,-118.85004,"Califor","Zenaida_macroura"
2019,"3160",25,33.7909207,-118.2918,"Califor","Zenaida_macroura"
2019,"3160",16,34.2881427,-116.7674109,"Califor","Zenaida_macroura"
2019,"3160",4,41.6708967,-121.2574609,"Califor","Zenaida_macroura"
2019,"3160",2,41.8699632,-120.5011538,"Califor","Zenaida_macroura"
2019,"3160",10,41.0534621,-120.4745547,"Califor","Zenaida_macroura"
2019,"3160",12,40.0402279,-120.9961818,"Califor","Zenaida_macroura"
2019,"3160",0,39.9493657,-121.0380629,"Califor","Zenaida_macroura"
2019,"3160",0,39.506243,-120.096211,"Califor","Zenaida_macroura"
2019,"3160",4,39.0192397,-120.8263239,"Califor","Zenaida_macroura"
2019,"3160",0,38.7396833,-120.5734077,"Califor","Zenaida_macroura"
2019,"3160",0,38.7995807,-120.7242129,"Califor","Zenaida_macroura"
2019,"3160",11,37.7104224,-120.1968622,"Califor","Zenaida_macroura"
2019,"3160",17,37.4618753,-119.7938035,"Califor","Zenaida_macroura"
2019,"3160",0,37.77678,-119.0168752,"Califor","Zenaida_macroura"
2019,"3160",1,38.1700196,-120.0376959,"Califor","Zenaida_macroura"
2019,"3160",0,40.8879703,-123.6046832,"Califor","Zenaida_macroura"
2019,"3160",3,40.1541637,-120.5453404,"Califor","Zenaida_macroura"
2019,"3160",39,41.9024247,-122.5631179,"Califor","Zenaida_macroura"
2019,"3160",11,41.5209207,-122.5202179,"Califor","Zenaida_macroura"
2019,"3160",5,33.9250177,-115.9269019,"Califor","Zenaida_macroura"
2019,"3160",0,40.6229877,-123.6395269,"Califor","Zenaida_macroura"
